graph,rank,variable,variable_index
directlingam_measure_pwling_threshold_0p010_constraint_unconstrained,0,Vigorous_Activity,5
directlingam_measure_pwling_threshold_0p010_constraint_unconstrained,1,Gender,1
directlingam_measure_pwling_threshold_0p010_constraint_unconstrained,2,BMI,3
directlingam_measure_pwling_threshold_0p010_constraint_unconstrained,3,Diastolic_BP,8
directlingam_measure_pwling_threshold_0p010_constraint_unconstrained,4,Systolic_BP,7
directlingam_measure_pwling_threshold_0p010_constraint_unconstrained,5,Waist_Circumference,4
directlingam_measure_pwling_threshold_0p010_constraint_unconstrained,6,Income_Ratio,2
directlingam_measure_pwling_threshold_0p010_constraint_unconstrained,7,Sedentary_Minutes,6
directlingam_measure_pwling_threshold_0p010_constraint_unconstrained,8,Age,0
directlingam_measure_pwling_threshold_0p010_constraint_unconstrained,9,Total_Sugars_g,12
directlingam_measure_pwling_threshold_0p010_constraint_unconstrained,10,Carbohydrates_g,11
directlingam_measure_pwling_threshold_0p010_constraint_unconstrained,11,Protein_g,10
directlingam_measure_pwling_threshold_0p010_constraint_unconstrained,12,Dietary_Fiber_g,13
directlingam_measure_pwling_threshold_0p010_constraint_unconstrained,13,Total_Calories,9
directlingam_measure_pwling_threshold_0p010_constraint_nhanes_moderate_tiers,0,Gender,1
directlingam_measure_pwling_threshold_0p010_constraint_nhanes_moderate_tiers,1,Income_Ratio,2
directlingam_measure_pwling_threshold_0p010_constraint_nhanes_moderate_tiers,2,Age,0
directlingam_measure_pwling_threshold_0p010_constraint_nhanes_moderate_tiers,3,Vigorous_Activity,5
directlingam_measure_pwling_threshold_0p010_constraint_nhanes_moderate_tiers,4,Sedentary_Minutes,6
directlingam_measure_pwling_threshold_0p010_constraint_nhanes_moderate_tiers,5,Total_Sugars_g,12
directlingam_measure_pwling_threshold_0p010_constraint_nhanes_moderate_tiers,6,Carbohydrates_g,11
directlingam_measure_pwling_threshold_0p010_constraint_nhanes_moderate_tiers,7,Protein_g,10
directlingam_measure_pwling_threshold_0p010_constraint_nhanes_moderate_tiers,8,Dietary_Fiber_g,13
directlingam_measure_pwling_threshold_0p010_constraint_nhanes_moderate_tiers,9,Total_Calories,9
directlingam_measure_pwling_threshold_0p010_constraint_nhanes_moderate_tiers,10,Waist_Circumference,4
directlingam_measure_pwling_threshold_0p010_constraint_nhanes_moderate_tiers,11,Systolic_BP,7
directlingam_measure_pwling_threshold_0p010_constraint_nhanes_moderate_tiers,12,BMI,3
directlingam_measure_pwling_threshold_0p010_constraint_nhanes_moderate_tiers,13,Diastolic_BP,8
directlingam_measure_pwling_threshold_0p010_constraint_nhanes_strict_tiers,0,Gender,1
directlingam_measure_pwling_threshold_0p010_constraint_nhanes_strict_tiers,1,Age,0
directlingam_measure_pwling_threshold_0p010_constraint_nhanes_strict_tiers,2,Income_Ratio,2
directlingam_measure_pwling_threshold_0p010_constraint_nhanes_strict_tiers,3,Vigorous_Activity,5
directlingam_measure_pwling_threshold_0p010_constraint_nhanes_strict_tiers,4,Sedentary_Minutes,6
