graph,n_directed,n_undirected,n_total
directlingam_measure_pwling_threshold_0p010_constraint_nhanes_moderate_tiers,56,0,56
directlingam_measure_pwling_threshold_0p010_constraint_nhanes_strict_tiers,49,0,49
directlingam_measure_pwling_threshold_0p010_constraint_unconstrained,53,0,53
directlingam_measure_pwling_threshold_0p050_constraint_nhanes_moderate_tiers,44,0,44
directlingam_measure_pwling_threshold_0p050_constraint_nhanes_strict_tiers,41,0,41
directlingam_measure_pwling_threshold_0p050_constraint_unconstrained,44,0,44
directlingam_measure_pwling_threshold_0p060_constraint_nhanes_moderate_tiers,41,0,41
directlingam_measure_pwling_threshold_0p060_constraint_nhanes_strict_tiers,38,0,38
directlingam_measure_pwling_threshold_0p060_constraint_unconstrained,41,0,41
directlingam_measure_pwling_threshold_0p070_constraint_nhanes_moderate_tiers,35,0,35
directlingam_measure_pwling_threshold_0p070_constraint_nhanes_strict_tiers,33,0,33
directlingam_measure_pwling_threshold_0p070_constraint_unconstrained,36,0,36
directlingam_measure_pwling_threshold_0p080_constraint_nhanes_moderate_tiers,32,0,32
directlingam_measure_pwling_threshold_0p080_constraint_nhanes_strict_tiers,27,0,27
directlingam_measure_pwling_threshold_0p080_constraint_unconstrained,34,0,34
directlingam_measure_pwling_threshold_0p090_constraint_nhanes_moderate_tiers,29,0,29
directlingam_measure_pwling_threshold_0p090_constraint_nhanes_strict_tiers,24,0,24
directlingam_measure_pwling_threshold_0p090_constraint_unconstrained,28,0,28
directlingam_measure_pwling_threshold_0p100_constraint_nhanes_moderate_tiers,25,0,25
directlingam_measure_pwling_threshold_0p100_constraint_nhanes_strict_tiers,21,0,21
directlingam_measure_pwling_threshold_0p100_constraint_unconstrained,27,0,27
