graph,source,target,edge_type,weight,abs_weight
directlingam_measure_pwling_threshold_0p080_constraint_unconstrained,Gender,Age,directed,0.09290633542510124,0.09290633542510124
directlingam_measure_pwling_threshold_0p080_constraint_unconstrained,Income_Ratio,Age,directed,0.14411181848659768,0.14411181848659768
directlingam_measure_pwling_threshold_0p080_constraint_unconstrained,BMI,Age,directed,-0.7375319780325227,0.7375319780325227
directlingam_measure_pwling_threshold_0p080_constraint_unconstrained,Waist_Circumference,Age,directed,0.7747318840988636,0.7747318840988636
directlingam_measure_pwling_threshold_0p080_constraint_unconstrained,Vigorous_Activity,Age,directed,-0.19465380405936214,0.19465380405936214
directlingam_measure_pwling_threshold_0p080_constraint_unconstrained,Systolic_BP,Age,directed,0.46346045593190277,0.46346045593190277
directlingam_measure_pwling_threshold_0p080_constraint_unconstrained,Diastolic_BP,Age,directed,-0.17151113423764058,0.17151113423764058
directlingam_measure_pwling_threshold_0p080_constraint_unconstrained,Vigorous_Activity,Gender,directed,-0.08728517205986443,0.08728517205986443
directlingam_measure_pwling_threshold_0p080_constraint_unconstrained,Vigorous_Activity,Income_Ratio,directed,0.1533109274038524,0.1533109274038524
directlingam_measure_pwling_threshold_0p080_constraint_unconstrained,Vigorous_Activity,BMI,directed,-0.10927519206862253,0.10927519206862253
directlingam_measure_pwling_threshold_0p080_constraint_unconstrained,Gender,Waist_Circumference,directed,-0.16347094507374182,0.16347094507374182
directlingam_measure_pwling_threshold_0p080_constraint_unconstrained,BMI,Waist_Circumference,directed,0.8969699224572854,0.8969699224572854
directlingam_measure_pwling_threshold_0p080_constraint_unconstrained,Vigorous_Activity,Waist_Circumference,directed,-0.08438681007260652,0.08438681007260652
directlingam_measure_pwling_threshold_0p080_constraint_unconstrained,Income_Ratio,Sedentary_Minutes,directed,0.1692275111935512,0.1692275111935512
directlingam_measure_pwling_threshold_0p080_constraint_unconstrained,Waist_Circumference,Sedentary_Minutes,directed,0.13076871538398083,0.13076871538398083
directlingam_measure_pwling_threshold_0p080_constraint_unconstrained,BMI,Systolic_BP,directed,0.08534558350538929,0.08534558350538929
directlingam_measure_pwling_threshold_0p080_constraint_unconstrained,Vigorous_Activity,Systolic_BP,directed,-0.16451465554476155,0.16451465554476155
directlingam_measure_pwling_threshold_0p080_constraint_unconstrained,Diastolic_BP,Systolic_BP,directed,0.41413516445113085,0.41413516445113085
directlingam_measure_pwling_threshold_0p080_constraint_unconstrained,Gender,Diastolic_BP,directed,-0.12850052157474293,0.12850052157474293
directlingam_measure_pwling_threshold_0p080_constraint_unconstrained,BMI,Diastolic_BP,directed,0.11453677481301787,0.11453677481301787
directlingam_measure_pwling_threshold_0p080_constraint_unconstrained,Protein_g,Total_Calories,directed,0.43660869067402724,0.43660869067402724
directlingam_measure_pwling_threshold_0p080_constraint_unconstrained,Carbohydrates_g,Total_Calories,directed,0.7401245563162847,0.7401245563162847
directlingam_measure_pwling_threshold_0p080_constraint_unconstrained,Total_Sugars_g,Total_Calories,directed,-0.0807169717815977,0.0807169717815977
directlingam_measure_pwling_threshold_0p080_constraint_unconstrained,Gender,Protein_g,directed,-0.14558432963125897,0.14558432963125897
directlingam_measure_pwling_threshold_0p080_constraint_unconstrained,Carbohydrates_g,Protein_g,directed,0.8185805888645997,0.8185805888645997
directlingam_measure_pwling_threshold_0p080_constraint_unconstrained,Total_Sugars_g,Protein_g,directed,-0.3742724798047556,0.3742724798047556
directlingam_measure_pwling_threshold_0p080_constraint_unconstrained,Gender,Carbohydrates_g,directed,-0.11230295455984356,0.11230295455984356
directlingam_measure_pwling_threshold_0p080_constraint_unconstrained,Total_Sugars_g,Carbohydrates_g,directed,0.8224451822259669,0.8224451822259669
directlingam_measure_pwling_threshold_0p080_constraint_unconstrained,Gender,Total_Sugars_g,directed,-0.15043211393208306,0.15043211393208306
directlingam_measure_pwling_threshold_0p080_constraint_unconstrained,Age,Dietary_Fiber_g,directed,0.1324948053093515,0.1324948053093515
directlingam_measure_pwling_threshold_0p080_constraint_unconstrained,Vigorous_Activity,Dietary_Fiber_g,directed,0.08529446276871828,0.08529446276871828
directlingam_measure_pwling_threshold_0p080_constraint_unconstrained,Protein_g,Dietary_Fiber_g,directed,0.08924463373500528,0.08924463373500528
directlingam_measure_pwling_threshold_0p080_constraint_unconstrained,Carbohydrates_g,Dietary_Fiber_g,directed,1.0913865152519975,1.0913865152519975
directlingam_measure_pwling_threshold_0p080_constraint_unconstrained,Total_Sugars_g,Dietary_Fiber_g,directed,-0.6363802022105167,0.6363802022105167
