graph,n_directed,n_undirected,n_total,directed_edges,undirected_edges
pc_alpha_0p001_constraint_nhanes_moderate_tiers,21,1,22,Age -> Waist_Circumference; Age -> Vigorous_Activity; Age -> Systolic_BP; Gender -> Waist_Circumference; Gender -> Diastolic_BP; Gender -> Protein_g; Income_Ratio -> Vigorous_Activity; Income_Ratio -> Sedentary_Minutes; Income_Ratio -> Dietary_Fiber_g; BMI -> Waist_Circumference; Dietary_Fiber_g -> BMI; Vigorous_Activity -> Waist_Circumference; Vigorous_Activity -> Dietary_Fiber_g; Diastolic_BP -> Systolic_BP; Protein_g -> Total_Calories; Carbohydrates_g -> Total_Calories; Total_Sugars_g -> Total_Calories; Protein_g -> Carbohydrates_g; Total_Sugars_g -> Carbohydrates_g; Dietary_Fiber_g -> Carbohydrates_g; Total_Sugars_g -> Dietary_Fiber_g,Age -- Income_Ratio
pc_alpha_0p001_constraint_nhanes_strict_tiers,20,0,20,Age -> Income_Ratio; Age -> Vigorous_Activity; Age -> Systolic_BP; Gender -> Diastolic_BP; Gender -> Protein_g; Income_Ratio -> Vigorous_Activity; Income_Ratio -> Sedentary_Minutes; Income_Ratio -> Dietary_Fiber_g; Waist_Circumference -> BMI; Dietary_Fiber_g -> BMI; Vigorous_Activity -> Waist_Circumference; Vigorous_Activity -> Dietary_Fiber_g; Diastolic_BP -> Systolic_BP; Protein_g -> Total_Calories; Carbohydrates_g -> Total_Calories; Total_Sugars_g -> Total_Calories; Protein_g -> Carbohydrates_g; Total_Sugars_g -> Carbohydrates_g; Dietary_Fiber_g -> Carbohydrates_g; Total_Sugars_g -> Dietary_Fiber_g,
pc_alpha_0p001_constraint_unconstrained,20,2,22,Income_Ratio -> Age; Waist_Circumference -> Age; Age -> Vigorous_Activity; Systolic_BP -> Age; Waist_Circumference -> Gender; Diastolic_BP -> Gender; Protein_g -> Gender; Vigorous_Activity -> Income_Ratio; Sedentary_Minutes -> Income_Ratio; Dietary_Fiber_g -> Income_Ratio; BMI -> Dietary_Fiber_g; Waist_Circumference -> Vigorous_Activity; Dietary_Fiber_g -> Vigorous_Activity; Protein_g -> Total_Calories; Carbohydrates_g -> Total_Calories; Total_Sugars_g -> Total_Calories; Protein_g -> Carbohydrates_g; Total_Sugars_g -> Carbohydrates_g; Dietary_Fiber_g -> Carbohydrates_g; Total_Sugars_g -> Dietary_Fiber_g,BMI -- Waist_Circumference; Systolic_BP -- Diastolic_BP
pc_alpha_0p010_constraint_nhanes_moderate_tiers,24,2,26,Age -> Waist_Circumference; Age -> Vigorous_Activity; Age -> Systolic_BP; Gender -> Waist_Circumference; Gender -> Vigorous_Activity; Gender -> Diastolic_BP; Gender -> Total_Calories; Gender -> Protein_g; Income_Ratio -> Vigorous_Activity; Income_Ratio -> Sedentary_Minutes; Income_Ratio -> Diastolic_BP; Income_Ratio -> Dietary_Fiber_g; BMI -> Waist_Circumference; Vigorous_Activity -> Waist_Circumference; Sedentary_Minutes -> Waist_Circumference; Vigorous_Activity -> Dietary_Fiber_g; Diastolic_BP -> Systolic_BP; Total_Calories -> Carbohydrates_g; Total_Calories -> Total_Sugars_g; Protein_g -> Carbohydrates_g; Protein_g -> Total_Sugars_g; Total_Sugars_g -> Carbohydrates_g; Dietary_Fiber_g -> Carbohydrates_g; Total_Sugars_g -> Dietary_Fiber_g,Age -- Income_Ratio; Total_Calories -- Protein_g
pc_alpha_0p010_constraint_nhanes_strict_tiers,24,1,25,Age -> Income_Ratio; Age -> Vigorous_Activity; Age -> Systolic_BP; Gender -> Vigorous_Activity; Gender -> Diastolic_BP; Gender -> Total_Calories; Gender -> Protein_g; Income_Ratio -> Vigorous_Activity; Income_Ratio -> Sedentary_Minutes; Income_Ratio -> Diastolic_BP; Income_Ratio -> Dietary_Fiber_g; Waist_Circumference -> BMI; Dietary_Fiber_g -> BMI; Vigorous_Activity -> Waist_Circumference; Sedentary_Minutes -> Waist_Circumference; Vigorous_Activity -> Dietary_Fiber_g; Diastolic_BP -> Systolic_BP; Total_Calories -> Carbohydrates_g; Total_Calories -> Total_Sugars_g; Protein_g -> Carbohydrates_g; Protein_g -> Total_Sugars_g; Total_Sugars_g -> Carbohydrates_g; Dietary_Fiber_g -> Carbohydrates_g; Total_Sugars_g -> Dietary_Fiber_g,Total_Calories -- Protein_g
pc_alpha_0p010_constraint_unconstrained,23,3,26,Income_Ratio -> Age; Waist_Circumference -> Age; Age -> Vigorous_Activity; Systolic_BP -> Age; Waist_Circumference -> Gender; Vigorous_Activity -> Gender; Diastolic_BP -> Gender; Total_Calories -> Gender; Protein_g -> Gender; Vigorous_Activity -> Income_Ratio; Sedentary_Minutes -> Income_Ratio; Diastolic_BP -> Income_Ratio; Dietary_Fiber_g -> Income_Ratio; Waist_Circumference -> BMI; Vigorous_Activity -> Waist_Circumference; Sedentary_Minutes -> Waist_Circumference; Dietary_Fiber_g -> Vigorous_Activity; Protein_g -> Total_Calories; Carbohydrates_g -> Total_Calories; Total_Sugars_g -> Total_Calories; Protein_g -> Carbohydrates_g; Total_Sugars_g -> Carbohydrates_g; Dietary_Fiber_g -> Carbohydrates_g,Systolic_BP -- Diastolic_BP; Protein_g -- Total_Sugars_g; Total_Sugars_g -- Dietary_Fiber_g
pc_alpha_0p050_constraint_nhanes_moderate_tiers,26,2,28,Age -> Waist_Circumference; Age -> Vigorous_Activity; Age -> Systolic_BP; Gender -> BMI; Gender -> Waist_Circumference; Gender -> Vigorous_Activity; Gender -> Diastolic_BP; Gender -> Total_Calories; Gender -> Protein_g; Income_Ratio -> Vigorous_Activity; Income_Ratio -> Sedentary_Minutes; Income_Ratio -> Diastolic_BP; Income_Ratio -> Dietary_Fiber_g; BMI -> Waist_Circumference; Vigorous_Activity -> Waist_Circumference; Sedentary_Minutes -> Waist_Circumference; Vigorous_Activity -> Dietary_Fiber_g; Diastolic_BP -> Systolic_BP; Total_Calories -> Carbohydrates_g; Total_Calories -> Total_Sugars_g; Total_Calories -> Dietary_Fiber_g; Protein_g -> Carbohydrates_g; Protein_g -> Total_Sugars_g; Total_Sugars_g -> Carbohydrates_g; Dietary_Fiber_g -> Carbohydrates_g; Total_Sugars_g -> Dietary_Fiber_g,Age -- Income_Ratio; Total_Calories -- Protein_g
pc_alpha_0p050_constraint_nhanes_strict_tiers,26,1,27,Age -> Income_Ratio; Age -> Vigorous_Activity; Age -> Systolic_BP; Gender -> Vigorous_Activity; Gender -> Diastolic_BP; Gender -> Total_Calories; Gender -> Protein_g; Income_Ratio -> Vigorous_Activity; Income_Ratio -> Sedentary_Minutes; Income_Ratio -> Diastolic_BP; Income_Ratio -> Dietary_Fiber_g; Waist_Circumference -> BMI; Dietary_Fiber_g -> BMI; Vigorous_Activity -> Waist_Circumference; Sedentary_Minutes -> Waist_Circumference; Waist_Circumference -> Systolic_BP; Vigorous_Activity -> Dietary_Fiber_g; Diastolic_BP -> Systolic_BP; Total_Calories -> Carbohydrates_g; Total_Calories -> Total_Sugars_g; Total_Calories -> Dietary_Fiber_g; Protein_g -> Carbohydrates_g; Protein_g -> Total_Sugars_g; Total_Sugars_g -> Carbohydrates_g; Dietary_Fiber_g -> Carbohydrates_g; Total_Sugars_g -> Dietary_Fiber_g,Total_Calories -- Protein_g
pc_alpha_0p050_constraint_unconstrained,22,6,28,Income_Ratio -> Age; Waist_Circumference -> Age; Age -> Vigorous_Activity; Systolic_BP -> Age; BMI -> Gender; Waist_Circumference -> Gender; Vigorous_Activity -> Gender; Diastolic_BP -> Gender; Total_Calories -> Gender; Protein_g -> Gender; Vigorous_Activity -> Income_Ratio; Sedentary_Minutes -> Income_Ratio; Diastolic_BP -> Income_Ratio; Dietary_Fiber_g -> Income_Ratio; Waist_Circumference -> BMI; Vigorous_Activity -> Waist_Circumference; Sedentary_Minutes -> Waist_Circumference; Dietary_Fiber_g -> Vigorous_Activity; Total_Calories -> Carbohydrates_g; Protein_g -> Carbohydrates_g; Total_Sugars_g -> Carbohydrates_g; Dietary_Fiber_g -> Carbohydrates_g,Systolic_BP -- Diastolic_BP; Total_Calories -- Protein_g; Total_Calories -- Total_Sugars_g; Total_Calories -- Dietary_Fiber_g; Protein_g -- Total_Sugars_g; Total_Sugars_g -- Dietary_Fiber_g
pc_alpha_0p100_constraint_nhanes_moderate_tiers,27,1,28,Age -> Waist_Circumference; Age -> Vigorous_Activity; Age -> Systolic_BP; Gender -> BMI; Gender -> Waist_Circumference; Gender -> Vigorous_Activity; Gender -> Diastolic_BP; Gender -> Total_Calories; Gender -> Protein_g; Income_Ratio -> Vigorous_Activity; Income_Ratio -> Sedentary_Minutes; Income_Ratio -> Diastolic_BP; Income_Ratio -> Dietary_Fiber_g; BMI -> Waist_Circumference; Vigorous_Activity -> Waist_Circumference; Sedentary_Minutes -> Waist_Circumference; Vigorous_Activity -> Dietary_Fiber_g; Sedentary_Minutes -> Total_Calories; Diastolic_BP -> Systolic_BP; Protein_g -> Total_Calories; Carbohydrates_g -> Total_Calories; Total_Sugars_g -> Total_Calories; Protein_g -> Carbohydrates_g; Protein_g -> Total_Sugars_g; Total_Sugars_g -> Carbohydrates_g; Dietary_Fiber_g -> Carbohydrates_g; Total_Sugars_g -> Dietary_Fiber_g,Age -- Income_Ratio
