graph_csv,graph_name,is_dag,n_nodes,n_directed_edges,Vigorous_Activity_to_BMI_has_path,Vigorous_Activity_to_BMI_path,Total_Calories_to_BMI_has_path,Total_Calories_to_BMI_path,Protein_g_to_BMI_has_path,Protein_g_to_BMI_path,Carbohydrates_g_to_BMI_has_path,Carbohydrates_g_to_BMI_path,all_treatments_have_path_to_outcome
outputs/pc/graph_csvs/pc_alpha_0p001_constraint_nhanes_moderate_tiers_edges.csv,pc_alpha_0p001_constraint_nhanes_moderate_tiers,True,14,21,True,Vigorous_Activity -> Dietary_Fiber_g -> BMI,False,,False,,False,,False
outputs/pc/graph_csvs/pc_alpha_0p001_constraint_nhanes_strict_tiers_edges.csv,pc_alpha_0p001_constraint_nhanes_strict_tiers,True,14,20,True,Vigorous_Activity -> Waist_Circumference -> BMI,False,,False,,False,,False
outputs/pc/graph_csvs/pc_alpha_0p001_constraint_unconstrained_edges.csv,pc_alpha_0p001_constraint_unconstrained,False,14,20,False,,False,,False,,False,,False
outputs/pc/graph_csvs/pc_alpha_0p010_constraint_nhanes_moderate_tiers_edges.csv,pc_alpha_0p010_constraint_nhanes_moderate_tiers,True,14,24,False,,False,,False,,False,,False
outputs/pc/graph_csvs/pc_alpha_0p010_constraint_nhanes_strict_tiers_edges.csv,pc_alpha_0p010_constraint_nhanes_strict_tiers,True,14,24,True,Vigorous_Activity -> Waist_Circumference -> BMI,True,Total_Calories -> Total_Sugars_g -> Dietary_Fiber_g -> BMI,True,Protein_g -> Total_Sugars_g -> Dietary_Fiber_g -> BMI,False,,False
outputs/pc/graph_csvs/pc_alpha_0p010_constraint_unconstrained_edges.csv,pc_alpha_0p010_constraint_unconstrained,False,14,23,True,Vigorous_Activity -> Waist_Circumference -> BMI,False,,False,,False,,False
outputs/pc/graph_csvs/pc_alpha_0p050_constraint_nhanes_moderate_tiers_edges.csv,pc_alpha_0p050_constraint_nhanes_moderate_tiers,True,14,26,False,,False,,False,,False,,False
outputs/pc/graph_csvs/pc_alpha_0p050_constraint_nhanes_strict_tiers_edges.csv,pc_alpha_0p050_constraint_nhanes_strict_tiers,True,14,26,True,Vigorous_Activity -> Waist_Circumference -> BMI,True,Total_Calories -> Dietary_Fiber_g -> BMI,True,Protein_g -> Total_Sugars_g -> Dietary_Fiber_g -> BMI,False,,False
outputs/pc/graph_csvs/pc_alpha_0p050_constraint_unconstrained_edges.csv,pc_alpha_0p050_constraint_unconstrained,False,14,22,True,Vigorous_Activity -> Waist_Circumference -> BMI,False,,False,,False,,False
outputs/pc/graph_csvs/pc_alpha_0p100_constraint_nhanes_moderate_tiers_edges.csv,pc_alpha_0p100_constraint_nhanes_moderate_tiers,True,14,27,False,,False,,False,,False,,False
outputs/pc/graph_csvs/pc_alpha_0p100_constraint_nhanes_strict_tiers_edges.csv,pc_alpha_0p100_constraint_nhanes_strict_tiers,True,14,26,True,Vigorous_Activity -> Waist_Circumference -> BMI,False,,False,,False,,False
outputs/pc/graph_csvs/pc_alpha_0p100_constraint_unconstrained_edges.csv,pc_alpha_0p100_constraint_unconstrained,False,14,25,True,Vigorous_Activity -> Waist_Circumference -> BMI,False,,False,,False,,False
outputs/pc/graph_csvs/pc_alpha_0p600_constraint_nhanes_moderate_tiers_edges.csv,pc_alpha_0p600_constraint_nhanes_moderate_tiers,True,14,38,True,Vigorous_Activity -> BMI,False,,False,,False,,False
outputs/pc/graph_csvs/pc_alpha_0p600_constraint_nhanes_strict_tiers_edges.csv,pc_alpha_0p600_constraint_nhanes_strict_tiers,True,14,37,True,Vigorous_Activity -> BMI,False,,True,Protein_g -> Dietary_Fiber_g -> BMI,True,Carbohydrates_g -> Dietary_Fiber_g -> BMI,False
outputs/pc/graph_csvs/pc_alpha_0p600_constraint_unconstrained_edges.csv,pc_alpha_0p600_constraint_unconstrained,True,14,34,False,,False,,False,,False,,False
