graph,source,target,edge_type,value
resit_regressor_random_forest_alpha_0p001_constraint_nhanes_strict_tiers,Age,Income_Ratio,directed,1.0
resit_regressor_random_forest_alpha_0p001_constraint_nhanes_strict_tiers,Gender,Income_Ratio,directed,1.0
resit_regressor_random_forest_alpha_0p001_constraint_nhanes_strict_tiers,Age,BMI,directed,1.0
resit_regressor_random_forest_alpha_0p001_constraint_nhanes_strict_tiers,Gender,BMI,directed,1.0
resit_regressor_random_forest_alpha_0p001_constraint_nhanes_strict_tiers,Income_Ratio,BMI,directed,1.0
resit_regressor_random_forest_alpha_0p001_constraint_nhanes_strict_tiers,Vigorous_Activity,BMI,directed,1.0
resit_regressor_random_forest_alpha_0p001_constraint_nhanes_strict_tiers,Sedentary_Minutes,BMI,directed,1.0
resit_regressor_random_forest_alpha_0p001_constraint_nhanes_strict_tiers,Total_Calories,BMI,directed,1.0
resit_regressor_random_forest_alpha_0p001_constraint_nhanes_strict_tiers,Protein_g,BMI,directed,1.0
resit_regressor_random_forest_alpha_0p001_constraint_nhanes_strict_tiers,Carbohydrates_g,BMI,directed,1.0
resit_regressor_random_forest_alpha_0p001_constraint_nhanes_strict_tiers,Total_Sugars_g,BMI,directed,1.0
resit_regressor_random_forest_alpha_0p001_constraint_nhanes_strict_tiers,Dietary_Fiber_g,BMI,directed,1.0
resit_regressor_random_forest_alpha_0p001_constraint_nhanes_strict_tiers,Age,Waist_Circumference,directed,1.0
resit_regressor_random_forest_alpha_0p001_constraint_nhanes_strict_tiers,Gender,Waist_Circumference,directed,1.0
resit_regressor_random_forest_alpha_0p001_constraint_nhanes_strict_tiers,Income_Ratio,Waist_Circumference,directed,1.0
resit_regressor_random_forest_alpha_0p001_constraint_nhanes_strict_tiers,BMI,Waist_Circumference,directed,1.0
resit_regressor_random_forest_alpha_0p001_constraint_nhanes_strict_tiers,Vigorous_Activity,Waist_Circumference,directed,1.0
resit_regressor_random_forest_alpha_0p001_constraint_nhanes_strict_tiers,Sedentary_Minutes,Waist_Circumference,directed,1.0
resit_regressor_random_forest_alpha_0p001_constraint_nhanes_strict_tiers,Total_Calories,Waist_Circumference,directed,1.0
resit_regressor_random_forest_alpha_0p001_constraint_nhanes_strict_tiers,Protein_g,Waist_Circumference,directed,1.0
resit_regressor_random_forest_alpha_0p001_constraint_nhanes_strict_tiers,Carbohydrates_g,Waist_Circumference,directed,1.0
