graph,source,target,edge_type,value
resit_regressor_random_forest_alpha_0p010_constraint_unconstrained,Gender,Age,directed,1.0
resit_regressor_random_forest_alpha_0p010_constraint_unconstrained,Vigorous_Activity,Age,directed,1.0
resit_regressor_random_forest_alpha_0p010_constraint_unconstrained,Systolic_BP,Age,directed,1.0
resit_regressor_random_forest_alpha_0p010_constraint_unconstrained,Total_Calories,Age,directed,1.0
resit_regressor_random_forest_alpha_0p010_constraint_unconstrained,Protein_g,Age,directed,1.0
resit_regressor_random_forest_alpha_0p010_constraint_unconstrained,Carbohydrates_g,Age,directed,1.0
resit_regressor_random_forest_alpha_0p010_constraint_unconstrained,Total_Sugars_g,Age,directed,1.0
resit_regressor_random_forest_alpha_0p010_constraint_unconstrained,Dietary_Fiber_g,Age,directed,1.0
resit_regressor_random_forest_alpha_0p010_constraint_unconstrained,Vigorous_Activity,Gender,directed,1.0
resit_regressor_random_forest_alpha_0p010_constraint_unconstrained,Age,Income_Ratio,directed,1.0
resit_regressor_random_forest_alpha_0p010_constraint_unconstrained,Gender,Income_Ratio,directed,1.0
resit_regressor_random_forest_alpha_0p010_constraint_unconstrained,BMI,Income_Ratio,directed,1.0
resit_regressor_random_forest_alpha_0p010_constraint_unconstrained,Vigorous_Activity,Income_Ratio,directed,1.0
resit_regressor_random_forest_alpha_0p010_constraint_unconstrained,Systolic_BP,Income_Ratio,directed,1.0
resit_regressor_random_forest_alpha_0p010_constraint_unconstrained,Total_Calories,Income_Ratio,directed,1.0
resit_regressor_random_forest_alpha_0p010_constraint_unconstrained,Protein_g,Income_Ratio,directed,1.0
resit_regressor_random_forest_alpha_0p010_constraint_unconstrained,Carbohydrates_g,Income_Ratio,directed,1.0
resit_regressor_random_forest_alpha_0p010_constraint_unconstrained,Total_Sugars_g,Income_Ratio,directed,1.0
resit_regressor_random_forest_alpha_0p010_constraint_unconstrained,Dietary_Fiber_g,Income_Ratio,directed,1.0
resit_regressor_random_forest_alpha_0p010_constraint_unconstrained,Age,BMI,directed,1.0
resit_regressor_random_forest_alpha_0p010_constraint_unconstrained,Gender,BMI,directed,1.0
resit_regressor_random_forest_alpha_0p010_constraint_unconstrained,Vigorous_Activity,BMI,directed,1.0
resit_regressor_random_forest_alpha_0p010_constraint_unconstrained,Systolic_BP,BMI,directed,1.0
resit_regressor_random_forest_alpha_0p010_constraint_unconstrained,Total_Calories,BMI,directed,1.0
resit_regressor_random_forest_alpha_0p010_constraint_unconstrained,Protein_g,BMI,directed,1.0
resit_regressor_random_forest_alpha_0p010_constraint_unconstrained,Carbohydrates_g,BMI,directed,1.0
resit_regressor_random_forest_alpha_0p010_constraint_unconstrained,Total_Sugars_g,BMI,directed,1.0
resit_regressor_random_forest_alpha_0p010_constraint_unconstrained,Dietary_Fiber_g,BMI,directed,1.0
resit_regressor_random_forest_alpha_0p010_constraint_unconstrained,Age,Waist_Circumference,directed,1.0
resit_regressor_random_forest_alpha_0p010_constraint_unconstrained,Gender,Waist_Circumference,directed,1.0
resit_regressor_random_forest_alpha_0p010_constraint_unconstrained,Income_Ratio,Waist_Circumference,directed,1.0
resit_regressor_random_forest_alpha_0p010_constraint_unconstrained,BMI,Waist_Circumference,directed,1.0
resit_regressor_random_forest_alpha_0p010_constraint_unconstrained,Vigorous_Activity,Waist_Circumference,directed,1.0
resit_regressor_random_forest_alpha_0p010_constraint_unconstrained,Systolic_BP,Waist_Circumference,directed,1.0
resit_regressor_random_forest_alpha_0p010_constraint_unconstrained,Total_Calories,Waist_Circumference,directed,1.0
resit_regressor_random_forest_alpha_0p010_constraint_unconstrained,Protein_g,Waist_Circumference,directed,1.0
resit_regressor_random_forest_alpha_0p010_constraint_unconstrained,Carbohydrates_g,Waist_Circumference,directed,1.0
resit_regressor_random_forest_alpha_0p010_constraint_unconstrained,Total_Sugars_g,Waist_Circumference,directed,1.0
resit_regressor_random_forest_alpha_0p010_constraint_unconstrained,Dietary_Fiber_g,Waist_Circumference,directed,1.0
resit_regressor_random_forest_alpha_0p010_constraint_unconstrained,Age,Sedentary_Minutes,directed,1.0
resit_regressor_random_forest_alpha_0p010_constraint_unconstrained,Gender,Sedentary_Minutes,directed,1.0
resit_regressor_random_forest_alpha_0p010_constraint_unconstrained,Income_Ratio,Sedentary_Minutes,directed,1.0
resit_regressor_random_forest_alpha_0p010_constraint_unconstrained,BMI,Sedentary_Minutes,directed,1.0
resit_regressor_random_forest_alpha_0p010_constraint_unconstrained,Waist_Circumference,Sedentary_Minutes,directed,1.0
resit_regressor_random_forest_alpha_0p010_constraint_unconstrained,Systolic_BP,Sedentary_Minutes,directed,1.0
resit_regressor_random_forest_alpha_0p010_constraint_unconstrained,Diastolic_BP,Sedentary_Minutes,directed,1.0
resit_regressor_random_forest_alpha_0p010_constraint_unconstrained,Total_Calories,Sedentary_Minutes,directed,1.0
resit_regressor_random_forest_alpha_0p010_constraint_unconstrained,Protein_g,Sedentary_Minutes,directed,1.0
resit_regressor_random_forest_alpha_0p010_constraint_unconstrained,Total_Sugars_g,Sedentary_Minutes,directed,1.0
resit_regressor_random_forest_alpha_0p010_constraint_unconstrained,Dietary_Fiber_g,Sedentary_Minutes,directed,1.0
resit_regressor_random_forest_alpha_0p010_constraint_unconstrained,Gender,Systolic_BP,directed,1.0
resit_regressor_random_forest_alpha_0p010_constraint_unconstrained,Vigorous_Activity,Systolic_BP,directed,1.0
resit_regressor_random_forest_alpha_0p010_constraint_unconstrained,Total_Calories,Systolic_BP,directed,1.0
resit_regressor_random_forest_alpha_0p010_constraint_unconstrained,Protein_g,Systolic_BP,directed,1.0
resit_regressor_random_forest_alpha_0p010_constraint_unconstrained,Carbohydrates_g,Systolic_BP,directed,1.0
resit_regressor_random_forest_alpha_0p010_constraint_unconstrained,Total_Sugars_g,Systolic_BP,directed,1.0
resit_regressor_random_forest_alpha_0p010_constraint_unconstrained,Dietary_Fiber_g,Systolic_BP,directed,1.0
resit_regressor_random_forest_alpha_0p010_constraint_unconstrained,Age,Diastolic_BP,directed,1.0
resit_regressor_random_forest_alpha_0p010_constraint_unconstrained,Gender,Diastolic_BP,directed,1.0
