graph,rank,variables,variable_indices
resit_regressor_random_forest_alpha_0p000_constraint_unconstrained,0,Vigorous_Activity,5
resit_regressor_random_forest_alpha_0p000_constraint_unconstrained,1,Gender,1
resit_regressor_random_forest_alpha_0p000_constraint_unconstrained,2,Dietary_Fiber_g,13
resit_regressor_random_forest_alpha_0p000_constraint_unconstrained,3,Total_Sugars_g,12
resit_regressor_random_forest_alpha_0p000_constraint_unconstrained,4,Carbohydrates_g,11
resit_regressor_random_forest_alpha_0p000_constraint_unconstrained,5,Total_Calories,9
resit_regressor_random_forest_alpha_0p000_constraint_unconstrained,6,Protein_g,10
resit_regressor_random_forest_alpha_0p000_constraint_unconstrained,7,Systolic_BP,7
resit_regressor_random_forest_alpha_0p000_constraint_unconstrained,8,Age,0
resit_regressor_random_forest_alpha_0p000_constraint_unconstrained,9,BMI,3
resit_regressor_random_forest_alpha_0p000_constraint_unconstrained,10,Income_Ratio,2
resit_regressor_random_forest_alpha_0p000_constraint_unconstrained,11,Waist_Circumference,4
resit_regressor_random_forest_alpha_0p000_constraint_unconstrained,12,Diastolic_BP,8
resit_regressor_random_forest_alpha_0p000_constraint_unconstrained,13,Sedentary_Minutes,6
resit_regressor_random_forest_alpha_0p000_constraint_nhanes_moderate_tiers,0,Gender,1
resit_regressor_random_forest_alpha_0p000_constraint_nhanes_moderate_tiers,1,Income_Ratio,2
resit_regressor_random_forest_alpha_0p000_constraint_nhanes_moderate_tiers,2,Age,0
resit_regressor_random_forest_alpha_0p000_constraint_nhanes_moderate_tiers,3,Vigorous_Activity,5
resit_regressor_random_forest_alpha_0p000_constraint_nhanes_moderate_tiers,4,Dietary_Fiber_g,13
resit_regressor_random_forest_alpha_0p000_constraint_nhanes_moderate_tiers,5,Total_Sugars_g,12
resit_regressor_random_forest_alpha_0p000_constraint_nhanes_moderate_tiers,6,Carbohydrates_g,11
resit_regressor_random_forest_alpha_0p000_constraint_nhanes_moderate_tiers,7,Total_Calories,9
resit_regressor_random_forest_alpha_0p000_constraint_nhanes_moderate_tiers,8,Protein_g,10
resit_regressor_random_forest_alpha_0p000_constraint_nhanes_moderate_tiers,9,Sedentary_Minutes,6
resit_regressor_random_forest_alpha_0p000_constraint_nhanes_moderate_tiers,10,Systolic_BP,7
resit_regressor_random_forest_alpha_0p000_constraint_nhanes_moderate_tiers,11,BMI,3
resit_regressor_random_forest_alpha_0p000_constraint_nhanes_moderate_tiers,12,Waist_Circumference,4
resit_regressor_random_forest_alpha_0p000_constraint_nhanes_moderate_tiers,13,Diastolic_BP,8
resit_regressor_random_forest_alpha_0p000_constraint_nhanes_strict_tiers,0,Gender,1
resit_regressor_random_forest_alpha_0p000_constraint_nhanes_strict_tiers,1,Age,0
resit_regressor_random_forest_alpha_0p000_constraint_nhanes_strict_tiers,2,Income_Ratio,2
resit_regressor_random_forest_alpha_0p000_constraint_nhanes_strict_tiers,3,Vigorous_Activity,5
resit_regressor_random_forest_alpha_0p000_constraint_nhanes_strict_tiers,4,Dietary_Fiber_g,13
resit_regressor_random_forest_alpha_0p000_constraint_nhanes_strict_tiers,5,Total_Sugars_g,12
resit_regressor_random_forest_alpha_0p000_constraint_nhanes_strict_tiers,6,Carbohydrates_g,11
resit_regressor_random_forest_alpha_0p000_constraint_nhanes_strict_tiers,7,Total_Calories,9
resit_regressor_random_forest_alpha_0p000_constraint_nhanes_strict_tiers,8,Protein_g,10
resit_regressor_random_forest_alpha_0p000_constraint_nhanes_strict_tiers,9,Sedentary_Minutes,6
resit_regressor_random_forest_alpha_0p000_constraint_nhanes_strict_tiers,10,Waist_Circumference,4
resit_regressor_random_forest_alpha_0p000_constraint_nhanes_strict_tiers,11,BMI,3
resit_regressor_random_forest_alpha_0p000_constraint_nhanes_strict_tiers,12,Systolic_BP,7
resit_regressor_random_forest_alpha_0p000_constraint_nhanes_strict_tiers,13,Diastolic_BP,8
